Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Josh Malone CIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,185,0,0,0,4,56,0.3,0,7.4
Rodney Adams MIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,186,0,0,0,5,55,0.3,0,7.3
Stacy Coley MIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,187,0,0,0,5,55,0.3,0,7.3
Walter Powell BUF ,https://s3.amazonaws.com/ryaong792/WR/W.Powell.jpg,188,0,0,0,7,75,0.1,0.4,7.3
Aaron Dobson ARI ,https://s3.amazonaws.com/ryaong792/WR/A.Dobson.jpg,189,0,0,0,6,69,0.1,0.1,7.3
Daniel Braverman CHI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,190,0,0,0,4,56,0.3,0.1,7.2
Isaiah McKenzie DEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,191,0,0,0,4,55,0.3,0.1,7.1
Brandon Tate BUF ,https://s3.amazonaws.com/ryaong792/WR/B.Tate.jpg,192,0,0,0,5,64,0.2,0.1,7.1
Bryce Treggs PHI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,193,0,0,0,4,61,0.2,0.1,7.1
Mack Hollins PHI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,194,0,0,0,5,51,0.3,0,6.9
Cody Latimer DEN ,https://s3.amazonaws.com/ryaong792/WR/C.Latimer.jpg,195,0,0,0,5.5,65,0.1,0.1,6.9
Shelton Gibson PHI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,196,0,0,0,5,51,0.3,0,6.9
Jehu Chesson KC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,197,0,0,0,4,52,0.3,0.1,6.8
Brenton Bersin CAR ,https://s3.amazonaws.com/ryaong792/WR/B.Bersin.jpg,198,0,0,0,6,69,0.1,0.5,6.5
Jeff Janis GB ,https://s3.amazonaws.com/ryaong792/WR/J.Janis.jpg,199,0,0,0,4.5,53,0.2,0.1,6.3
Mario Alford CLE ,https://s3.amazonaws.com/ryaong792/WR/M.Alford.jpg,200,0,0,0,4,49,0.2,0.1,5.9
Maurice Harris WAS ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,201,0,0,0,6,54,0.1,0.1,5.8
Shane Wynn JAC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,202,0,0,0,4,46,0.2,0.1,5.6
Corey Fuller NO ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,203,0,0,0,4,57,0.1,0.5,5.3
Keith Mumphery HOU ,https://s3.amazonaws.com/ryaong792/WR/K.Mumphery.jpg,204,0,0,0,5.5,51.5,0.1,0.1,5.3
Jake Lampman NO ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,205,0,0,0,3,37,0.2,0.1,4.7
Lucky Whitehead DAL ,https://s3.amazonaws.com/ryaong792/WR/L.Whitehead.jpg,206,0,0,0,4.5,56.5,0,0.5,4.7
Brittan Golden ARI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,207,0,0,0,3,27,0.3,0.4,3.7
Demarcus Robinson KC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,208,0,0,0,2,26,0.2,0.1,3.6
Jakeem Grant MIA ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,209,0,0,0,2,27,0.2,0.4,3.1
Alex Erickson CIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,210,0,0,0,3,32,0,0.1,3
De'Anthony Thomas KC ,https://s3.amazonaws.com/ryaong792/WR/D.Thomas-KC.jpg,211,0,0,0,4,22,0.1,0.1,2.6
James Wright CLE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,212,0,0,0,4,27,0,0.1,2.5
Frankie Hammond NYJ ,https://s3.amazonaws.com/ryaong792/WR/F.Hammond.jpg,213,0,0,0,3,23,0.1,0.4,2.1
Aaron Burbridge SF ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,214,0,0,0,2,27,0,0.3,2.1
Bradley Marquez LAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,215,0,0,0,2,20,0,0.1,1.8
Byron Marshall PHI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,216,0,0,0,2,12,0,0.1,1
