Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Tyler Lockett SEA ,https://s3.amazonaws.com/ryaong792/WR/T.Lockett.jpg,69,4.1,29.8,0.1,45.5,622.7,3.6,0.4,86.1
Curtis Samuel CAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,70,22.1,115.8,0.5,39.4,522.5,3.3,0.6,85.4
Terrance Williams DAL ,https://s3.amazonaws.com/ryaong792/WR/T.Williams.jpg,71,0,0,0,43.9,636,3.8,1.1,84.2
Kevin White CHI ,https://s3.amazonaws.com/ryaong792/WR/K.White.jpg,72,1.5,8.3,0.1,51.2,622.3,3.3,0.6,82.2
Quincy Enunwa NYJ ,https://s3.amazonaws.com/ryaong792/WR/Q.Enunwa.jpg,73,0,0,0,46.9,632.6,3.2,0.3,82.1
Zay Jones BUF ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,74,0,0,0,48.3,607.7,3.5,0.5,81
Chad Williams ARI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,75,0,0,0,39.9,538.9,3.1,0,72.5
Torrey Smith PHI ,https://s3.amazonaws.com/ryaong792/WR/T.Smith.jpg,76,0,0,0,35.4,495.3,3.2,0.3,68.3
Chris Hogan NE ,https://s3.amazonaws.com/ryaong792/WR/C.Hogan.jpg,77,3.1,17,0.1,32,478.8,2.9,1.1,65.6
Kenny Golladay DET ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,78,0,0,0,38.6,461.7,3.1,0.5,63.8
Seth Roberts OAK ,https://s3.amazonaws.com/ryaong792/WR/S.Roberts.jpg,79,0,0,0,34.1,407.3,3.9,0.3,63.3
Robby Anderson NYJ ,https://s3.amazonaws.com/ryaong792/WR/R.Anderson.jpg,80,3.4,22.5,0.1,34.7,475.2,2.3,1.6,60.9
Phillip Dorsett IND ,https://s3.amazonaws.com/ryaong792/WR/P.Dorsett.jpg,81,2,11.3,0.1,30.4,437,2.7,0.4,60.5
Jeremy Kerley SF ,https://s3.amazonaws.com/ryaong792/WR/J.Kerley.jpg,82,1.9,11.5,0.1,48.8,470.2,2.3,1,60.5
Kendall Wright CHI ,https://s3.amazonaws.com/ryaong792/WR/K.Wright.jpg,83,1.5,8.3,0.1,37.6,460,2.1,0.4,59.1
Marquise Goodwin SF ,https://s3.amazonaws.com/ryaong792/WR/M.Goodwin.jpg,84,1,5.8,0,30.2,428.5,2.7,0.4,58.6
Jermaine Kearse SEA ,https://s3.amazonaws.com/ryaong792/WR/J.Kearse.jpg,85,0,0,0,34.8,437.2,2.5,0.2,58.5
Adam Humphries TB ,https://s3.amazonaws.com/ryaong792/WR/A.Humphries.jpg,86,3.1,17.9,0.1,37.1,409.7,2.1,0.3,55.3
Brandon LaFell CIN ,https://s3.amazonaws.com/ryaong792/WR/B.LaFell.jpg,87,0,0,0,32.7,408.4,2.4,0.3,54.8
ArDarius Stewart NYJ ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,88,0,0,0,32.8,414.3,2.1,0,54
Andre Holmes BUF ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,89,0,0,0,25.4,347.9,3.2,0.3,53.6
Kamar Aiken IND ,https://s3.amazonaws.com/ryaong792/WR/K.Aiken.jpg,90,0,0,0,30,394.2,2.4,0.4,53
Cooper Kupp LAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,91,0,0,0,33.5,399.8,2,0.6,50.6
Justin Hunter PIT ,https://s3.amazonaws.com/ryaong792/WR/J.Hunter.jpg,92,0,0,0,18,234,4.2,0.2,48.2
