Player,Image,Rank,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Demetrius Harris KC ,https://s3.amazonaws.com/ryaong792/TE/D.Harris.jpg,68,11.6,108,0.5,0,13.8
Anthony Fasano MIA ,https://s3.amazonaws.com/ryaong792/TE/A.Fasano.jpg,69,8.8,86.5,0.9,0,13.8
Rico Gathers DAL ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,70,7,77,1,0,13.7
Nick O'Leary BUF ,https://s3.amazonaws.com/ryaong792/TE/N.O'Leary.jpg,71,8.3,85.1,0.8,0,13
Lee Smith OAK ,https://s3.amazonaws.com/ryaong792/TE/L.Smith.jpg,72,7.7,80.5,0.7,0,12.3
Jerell Adams NYG ,https://s3.amazonaws.com/ryaong792/TE/J.Adams.jpg,73,12,120,0,0,12
James Hanna DAL ,https://s3.amazonaws.com/ryaong792/TE/J.Hanna.jpg,74,8,85.1,0.5,0,11.5
George Kittle SF ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,75,7.3,79.3,0.5,0,10.9
Jake Butt DEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,76,7.5,76.4,0.5,0,10.6
Stephen Anderson HOU ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,77,7.2,76,0.5,0,10.6
Jonnu Smith TEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,78,6.4,67.1,0.6,0,10.3
Logan Thomas BUF ,https://s3.amazonaws.com/ryaong792/TE/L.Thomas.jpg,79,6.5,70.2,0.5,0,10
Ben Koyack JAC ,https://s3.amazonaws.com/ryaong792/TE/B.Koyack.jpg,80,7.3,69.3,0.5,0,9.9
Darren Fells DET ,https://s3.amazonaws.com/ryaong792/TE/D.Fells.jpg,81,7.5,82.8,0.2,0,9.5
Michael Hoomanawanui NO ,https://s3.amazonaws.com/ryaong792/TE/M.Hoomanawanui.jpg,82,8,88,0,0,8.8
Blake Bell SF ,https://s3.amazonaws.com/ryaong792/TE/B.Bell.jpg,83,7,79,0,0,7.9
Jace Amaro TEN ,https://s3.amazonaws.com/ryaong792/TE/J.Amaro.jpg,84,7,72,0,0,7.2
Niles Paul WAS ,https://s3.amazonaws.com/ryaong792/TE/N.Paul.jpg,85,6,71,0,0,7.1
David Johnson PIT ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,86,3.8,40.6,0.4,0,6.5
Michael Roberts DET ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,87,3.9,38.5,0.4,0,6.3
Jeff Cumberland LAC ,https://s3.amazonaws.com/ryaong792/TE/J.Cumberland.jpg,88,3.7,36.5,0.4,0,6.1
David Morgan MIN ,https://s3.amazonaws.com/ryaong792/TE/D.Morgan.jpg,89,6,54,0,0,5.4
Scott Simonson CAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,90,5,51,0,0,5.1
Temarrick Hemingway LAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,91,5,50,0,0,5
Nick Vannett SEA ,https://s3.amazonaws.com/ryaong792/TE/N.Vannett.jpg,92,3.7,39,0.2,0,4.8
Gavin Escobar KC ,https://s3.amazonaws.com/ryaong792/TE/G.Escobar.jpg,93,4,40,0,0,4
Phillip Supernaw TEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,94,4,40,0,0,4
Tyler Kroft CIN ,https://s3.amazonaws.com/ryaong792/TE/T.Kroft.jpg,95,3,30,0,0,3
Ryan Hewitt CIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,96,3,21,0,0,2.1
